timestamp,192.168.13.108.443-CPU1TempTemperatureReading-TemperatureReading,192.168.13.108.443-CPU2TempTemperatureReading-TemperatureReading,192.168.13.108.443-CUPSSystemUsage-CPUUsage,192.168.13.108.443-CUPSSystemUsage-MemoryUsage,192.168.13.108.443-CUPSSystemUsage-SystemUsage,192.168.13.108.443-Fan1RPMReading-RPMReading,192.168.13.108.443-Fan2RPMReading-RPMReading,192.168.13.108.443-Fan3RPMReading-RPMReading,192.168.13.108.443-Fan4RPMReading-RPMReading,192.168.13.108.443-Fan5RPMReading-RPMReading,192.168.13.108.443-Fan6RPMReading-RPMReading,192.168.13.108.443-DIMMSocketA1TemperatureReading-TemperatureReading,192.168.13.108.443-DIMMSocketA2TemperatureReading-TemperatureReading,192.168.13.108.443-DIMMSocketA3TemperatureReading-TemperatureReading,192.168.13.108.443-DIMMSocketA4TemperatureReading-TemperatureReading,192.168.13.108.443-DIMMSocketA5TemperatureReading-TemperatureReading,192.168.13.108.443-DIMMSocketA6TemperatureReading-TemperatureReading,192.168.13.108.443-PowerMetricsTotalStoragePower-SystemPowerConsumption,192.168.13.108.443-PowerMetricsTotalStoragePower-TotalCPUPower,192.168.13.108.443-PowerMetricsTotalStoragePower-TotalMemoryPower,192.168.13.108.443-PowerMetricsTotalStoragePower-TotalStoragePower
2020-03-30T13:00:56.464000000Z,43,44,3,0,4,10320,10320,10320,10080,10320,10320,26,25,25,28,27,27,208,165,10,23.01757813
2020-03-30T13:01:01.397000000Z,43,44,3,0,4,10320,10320,10320,10080,10320,10320,26,25,25,28,27,27,208,165,10,23.01757813
2020-03-30T13:01:01.544000000Z,43,44,3,0,4,10320,10320,10320,10080,10320,10320,26,25,25,28,27,27,208,165,10,23.01757813
2020-03-30T13:01:01.545000000Z,43,44,3,0,4,10320,10320,10320,10080,10320,10320,26,25,25,28,27,27,208,165,10,23.01757813
2020-03-30T13:01:01.678000000Z,43,44,3,0,4,10320,10320,10320,10080,10320,10320,26,25,25,28,27,27,208,165,10,23.01757813
2020-03-30T13:01:01.795000000Z,43,44,3,0,4,10320,10320,10320,10080,10320,10320,26,25,25,28,27,27,208,165,10,23.01757813
2020-03-30T13:01:01.906000000Z,43,44,3,0,4,10320,10320,10320,10080,10320,10320,26,25,25,28,27,27,208,165,10,23.01757813
2020-03-30T13:01:02.032000000Z,43,44,3,0,4,10320,10320,10320,10080,10320,10320,26,25,25,28,27,27,208,165,10,23.01757813
2020-03-30T13:01:02.033000000Z,43,44,3,0,4,10320,10320,10320,10080,10320,10320,26,25,25,28,27,27,208,165,10,23.01757813
2020-03-30T13:01:02.171000000Z,43,44,3,0,4,10320,10320,10320,10080,10320,10320,26,25,25,28,27,27,208,165,10,23.01757813
2020-03-30T13:01:02.295000000Z,43,44,3,0,4,10320,10320,10320,10080,10320,10320,26,25,25,28,27,27,208,165,10,23.01757813
2020-03-30T13:01:06.399000000Z,43,44,3,0,4,10320,10320,10320,10080,10320,10320,26,25,25,28,27,27,208,165,10,23.01757813
2020-03-30T13:01:06.582000000Z,43,44,3,0,4,10320,10320,10320,10080,10320,10320,26,25,25,28,27,27,208,165,10,23.01757813
2020-03-30T13:01:26.498000000Z,43,44,3,0,4,10320,10320,10320,10080,10320,10320,26,25,25,28,27,27,208,165,10,23.01757813
2020-03-30T13:01:26.665000000Z,43,44,3,0,4,10320,10320,10320,10080,10320,10320,26,25,25,28,27,27,208,165,10,23.01757813
2020-03-30T13:01:56.630000000Z,43,44,3,0,4,10320,10320,10320,10080,10320,10320,26,25,25,28,27,27,208,165,10,23.01757813
2020-03-30T13:02:01.542000000Z,43,44,3,0,4,10320,10320,10320,10080,10320,10320,26,25,26,28,27,27,208,165,10,23.01757813
2020-03-30T13:02:01.705000000Z,43,44,3,0,4,10320,10320,10320,10080,10320,10320,26,25,26,28,27,27,208,165,10,23.01757813
2020-03-30T13:02:01.706000000Z,43,44,3,0,4,10320,10320,10320,10080,10320,10320,26,25,26,28,27,27,208,165,10,23.01757813
2020-03-30T13:02:01.883000000Z,43,45,3,0,4,10320,10320,10320,10080,10320,10320,26,25,26,28,27,27,208,165,10,23.01757813
2020-03-30T13:02:02.062000000Z,43,45,3,0,4,10320,10320,10320,10080,10320,10320,26,25,26,28,27,27,208,165,10,23.01757813
2020-03-30T13:02:02.191000000Z,43,45,3,0,4,10320,10320,10320,10080,10320,10320,26,25,26,28,27,27,208,165,10,23.01757813
2020-03-30T13:02:02.314000000Z,43,45,3,0,4,10320,10320,10320,10080,10320,10320,26,25,26,28,27,27,208,165,10,23.01757813
2020-03-30T13:02:02.476000000Z,43,45,3,0,4,10320,10320,10320,10080,10320,10320,26,25,26,28,27,27,208,169,10,21.80957031
2020-03-30T13:02:02.604000000Z,43,45,3,0,4,10320,10320,10320,10080,10320,10320,26,25,26,28,27,27,208,169,10,21.80957031
2020-03-30T13:02:06.526000000Z,43,45,3,0,4,10320,10320,10320,10080,10320,10320,26,25,26,28,27,27,208,169,10,21.80957031
2020-03-30T13:02:06.642000000Z,43,45,3,0,4,10320,10320,10320,10080,10320,10320,26,25,26,28,27,27,208,169,10,21.80957031
2020-03-30T13:02:06.780000000Z,43,45,3,0,4,10320,10320,10320,10080,10320,10320,26,25,26,28,27,27,208,169,10,21.80957031
2020-03-30T13:02:26.571000000Z,43,45,3,0,4,10320,10320,10320,10080,10320,10320,26,25,26,28,27,27,208,169,10,21.80957031
2020-03-30T13:02:26.801000000Z,43,45,3,0,4,10320,10320,10320,10080,10320,10320,26,25,26,28,27,27,208,169,10,21.80957031
2020-03-30T13:02:56.757000000Z,43,45,3,0,4,10320,10320,10320,10080,10320,10320,26,25,26,28,27,27,208,169,10,21.80957031
2020-03-30T13:03:01.744000000Z,43,45,3,0,4,10320,10320,10320,10080,10320,10320,26,25,26,28,27,27,208,169,10,21.80957031
