labels,CPU1 Temp,CPU1 Temp_min,CPU1 Temp_max,CPU2 Temp,CPU2 Temp_min,CPU2 Temp_max,Inlet Temp,Inlet Temp_min,Inlet Temp_max,Memory usage,Memory usage_min,Memory usage_max,Fan1 speed,Fan1 speed_min,Fan1 speed_max,Fan2 speed,Fan2 speed_min,Fan2 speed_max,Fan3 speed,Fan3 speed_min,Fan3 speed_max,Fan4 speed,Fan4 speed_min,Fan4 speed_max,Power consumption,Power consumption_min,Power consumption_max,mse
0,57,41,86,44,34,72,20,9,24,5.101402755487004,1.6325530983596308,33.16016007670342,9870,7490,12460,9870,7420,12460,9870,7420,12460,10010,7420,12460,90.3125,40.3125,110.31249999999999,0.11008244920483204
1,77,55,87,64,41,78,17,9,24,40.01604935698356,11.536256956458303,71.93759509765097,9310,7700,11340,8890,7630,11340,9310,7700,11340,8890,7630,11480,98.75,42.8125,110.625,0.10805109201942521
2,39,36,60,32,29,46,13,10,15,52.25733163807657,20.45250849365321,82.41553244262877,9100,8260,10010,9100,8120,10080,8960,8120,10080,9100,8120,10080,44.0625,40.3125,96.875,0.06911323338150255
3,57,33,80,45,28,69,14,10,17,95.14767492756947,62.12664401692477,98.12566438084917,8890,7490,11060,8890,7420,11060,8750,7420,11060,8890,7420,11060,93.75,40.3125,107.18749999999999,0.09627496956131261
4,3,3,3,3,3,3,3,3,3,0,0,10.73118369218584,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,0,0,75,0.01693051648284682
5,58,54,78,48,39,61,18,10,20,41.820038768576616,33.12733184650979,51.37670133605687,12460,9870,12460,12390,9800,12460,12390,9870,12460,12390,9800,12460,95.625,80,110.00000000000001,0.031409513422526264
6,49,42,50,41,36,43,14,13,14,33.156512495570794,3.6303853930008128,33.17162390312025,16800,16590,16800,16590,16450,16730,16730,16520,16730,16730,16520,16730,101.5625,74.375,103.125,0.013675838897248825
7,3,3,3,3,3,3,3,3,3,60.10588406944995,58.88133897492549,65.88104716843488,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,0,0,0,0.0005554525591978414
8,29,29,43,27,27,38,11,10,20,3.5725451778977426,0,25.452821143464572,10920,7840,11130,10850,7910,11130,10920,7840,11130,10850,7840,11130,40.3125,39.375,54.0625,0.02994291638053861
9,87,68,87,76,43,80,17,9,20,3.1129499551868602,1.7310377889405342,21.12835316922692,10920,8330,12460,11060,8260,12460,11130,8330,12460,11060,8330,12390,97.8125,80.3125,106.5625,0.05583154276753913
