"time","name","jobs","cpus"
2021-08-11 00:00:00,cpu-23-1,{2954144},{128}
2021-08-11 00:00:00,cpu-23-10,{2746007},{128}
2021-08-11 00:00:00,cpu-23-11,{2954145},{128}
2021-08-11 00:00:00,cpu-23-12,"{2969820,2970055,2970095}","{1,80,32}"
2021-08-11 00:00:00,cpu-23-13,{2594885},{128}
2021-08-11 00:00:00,cpu-23-14,{2594885},{128}
2021-08-11 00:00:00,cpu-23-17,{2954144},{128}
2021-08-11 00:00:00,cpu-23-18,{2954144},{128}
2021-08-11 00:00:00,cpu-23-19,{2959345},{128}
2021-08-11 00:00:00,cpu-23-2,{2954145},{128}
2021-08-11 00:00:00,cpu-23-20,{2959345},{128}
2021-08-11 00:00:00,cpu-23-21,"{2965072,2968743,2972667,2974465,2974646,2975083,2975084}","{41,1,20,16,16,16,16}"
2021-08-11 00:00:00,cpu-23-22,"{2965072,2970079,2973252,2974647,2974985}","{41,20,27,16,16}"
2021-08-11 00:00:00,cpu-23-23,{2958021},{128}
2021-08-11 00:00:00,cpu-23-24,"{2965072,2968513,2969875}","{41,44,32}"
2021-08-11 00:00:00,cpu-23-25,{2954144},{128}
2021-08-11 00:00:00,cpu-23-26,{2954144},{128}
2021-08-11 00:00:00,cpu-23-27,{2594885},{128}
2021-08-11 00:00:00,cpu-23-28,{2594885},{128}
2021-08-11 00:00:00,cpu-23-29,{2594885},{128}
2021-08-11 00:00:00,cpu-23-3,{2954145},{128}
2021-08-11 00:00:00,cpu-23-30,{2594885},{128}
2021-08-11 00:00:00,cpu-23-31,{2594885},{128}
2021-08-11 00:00:00,cpu-23-32,{2971519},{128}
2021-08-11 00:00:00,cpu-23-33,{2968885},{128}
2021-08-11 00:00:00,cpu-23-34,{2954145},{128}
2021-08-11 00:00:00,cpu-23-35,"{2968531,2968705,2968707,2968708,2968711,2968712,2968713,2968739,2968741,2968742,2974466}","{96,1,1,1,1,1,1,1,1,1,16}"
2021-08-11 00:00:00,cpu-23-36,{2594885},{128}
2021-08-11 00:00:00,cpu-23-37,{2594885},{128}
2021-08-11 00:00:00,cpu-23-38,{2594885},{128}
2021-08-11 00:00:00,cpu-23-39,{2594885},{128}
2021-08-11 00:00:00,cpu-23-4,{2954144},{128}
2021-08-11 00:00:00,cpu-23-40,{2954144},{128}
2021-08-11 00:00:00,cpu-23-41,{2954145},{128}
2021-08-11 00:00:00,cpu-23-42,{2845580},{128}
