"time","memory_power | cpu-23-1","memory_power | cpu-23-10","memory_power | cpu-23-11","memory_power | cpu-23-12","memory_power | cpu-23-13","memory_power | cpu-23-14","memory_power | cpu-23-17","memory_power | cpu-23-18","memory_power | cpu-23-19","memory_power | cpu-23-2","memory_power | cpu-23-20","memory_power | cpu-23-21","memory_power | cpu-23-22","memory_power | cpu-23-23","memory_power | cpu-23-24","memory_power | cpu-23-25","memory_power | cpu-23-26","memory_power | cpu-23-27","memory_power | cpu-23-28","memory_power | cpu-23-3","memory_power | cpu-23-30","memory_power | cpu-23-31","memory_power | cpu-23-32","memory_power | cpu-23-33","memory_power | cpu-23-34","memory_power | cpu-23-35","memory_power | cpu-23-36","memory_power | cpu-23-37","memory_power | cpu-23-38","memory_power | cpu-23-39","memory_power | cpu-23-4","memory_power | cpu-23-40","memory_power | cpu-23-41","memory_power | cpu-23-42","memory_power | cpu-23-43","memory_power | cpu-23-44","memory_power | cpu-23-45","memory_power | cpu-23-46","memory_power | cpu-23-47","memory_power | cpu-23-48","memory_power | cpu-23-49","memory_power | cpu-23-5","memory_power | cpu-23-50","memory_power | cpu-23-51","memory_power | cpu-23-52","memory_power | cpu-23-53","memory_power | cpu-23-54","memory_power | cpu-23-55","memory_power | cpu-23-56","memory_power | cpu-23-57","memory_power | cpu-23-58","memory_power | cpu-23-6","memory_power | cpu-23-60","memory_power | cpu-23-7","memory_power | cpu-23-8","memory_power | cpu-23-9","memory_power | cpu-24-1","memory_power | cpu-24-10","memory_power | cpu-24-11","memory_power | cpu-24-12","memory_power | cpu-24-13","memory_power | cpu-24-14","memory_power | cpu-24-15","memory_power | cpu-24-16","memory_power | cpu-24-17","memory_power | cpu-24-18","memory_power | cpu-24-19","memory_power | cpu-24-2","memory_power | cpu-24-20","memory_power | cpu-24-21","memory_power | cpu-24-22","memory_power | cpu-24-23","memory_power | cpu-24-24","memory_power | cpu-24-25","memory_power | cpu-24-26","memory_power | cpu-24-27","memory_power | cpu-24-28","memory_power | cpu-24-29","memory_power | cpu-24-3","memory_power | cpu-24-30","memory_power | cpu-24-31","memory_power | cpu-24-32","memory_power | cpu-24-33","memory_power | cpu-24-34","memory_power | cpu-24-35","memory_power | cpu-24-36","memory_power | cpu-24-37","memory_power | cpu-24-38","memory_power | cpu-24-39","memory_power | cpu-24-4","memory_power | cpu-24-40","memory_power | cpu-24-41","memory_power | cpu-24-42","memory_power | cpu-24-43","memory_power | cpu-24-44","memory_power | cpu-24-45","memory_power | cpu-24-46","memory_power | cpu-24-47","memory_power | cpu-24-48","memory_power | cpu-24-49","memory_power | cpu-24-5","memory_power | cpu-24-50","memory_power | cpu-24-51","memory_power | cpu-24-52","memory_power | cpu-24-53","memory_power | cpu-24-54","memory_power | cpu-24-55","memory_power | cpu-24-56","memory_power | cpu-24-57","memory_power | cpu-24-58","memory_power | cpu-24-59","memory_power | cpu-24-6","memory_power | cpu-24-60","memory_power | cpu-24-7","memory_power | cpu-24-8","memory_power | cpu-24-9","memory_power | cpu-25-1","memory_power | cpu-25-10","memory_power | cpu-25-11","memory_power | cpu-25-12","memory_power | cpu-25-13","memory_power | cpu-25-14","memory_power | cpu-25-15","memory_power | cpu-25-16","memory_power | cpu-25-19","memory_power | cpu-25-2","memory_power | cpu-25-21","memory_power | cpu-25-22","memory_power | cpu-25-23","memory_power | cpu-25-24","memory_power | cpu-25-25","memory_power | cpu-25-26","memory_power | cpu-25-27","memory_power | cpu-25-28","memory_power | cpu-25-29","memory_power | cpu-25-3","memory_power | cpu-25-30","memory_power | cpu-25-31","memory_power | cpu-25-33","memory_power | cpu-25-34","memory_power | cpu-25-35","memory_power | cpu-25-36","memory_power | cpu-25-37","memory_power | cpu-25-38","memory_power | cpu-25-39","memory_power | cpu-25-4","memory_power | cpu-25-40","memory_power | cpu-25-41","memory_power | cpu-25-42","memory_power | cpu-25-43","memory_power | cpu-25-44","memory_power | cpu-25-45","memory_power | cpu-25-46","memory_power | cpu-25-47","memory_power | cpu-25-48","memory_power | cpu-25-49","memory_power | cpu-25-5","memory_power | cpu-25-51","memory_power | cpu-25-52","memory_power | cpu-25-53","memory_power | cpu-25-54","memory_power | cpu-25-55","memory_power | cpu-25-56","memory_power | cpu-25-57","memory_power | cpu-25-58","memory_power | cpu-25-6","memory_power | cpu-25-60","memory_power | cpu-25-7","memory_power | cpu-25-8","memory_power | cpu-25-9","memory_power | cpu-26-1","memory_power | cpu-26-10","memory_power | cpu-26-11","memory_power | cpu-26-12","memory_power | cpu-26-13","memory_power | cpu-26-14","memory_power | cpu-26-15","memory_power | cpu-26-16","memory_power | cpu-26-17","memory_power | cpu-26-18","memory_power | cpu-26-19","memory_power | cpu-26-2","memory_power | cpu-26-20","memory_power | cpu-26-21","memory_power | cpu-26-22","memory_power | cpu-26-23","memory_power | cpu-26-24","memory_power | cpu-26-25","memory_power | cpu-26-26","memory_power | cpu-26-28","memory_power | cpu-26-29","memory_power | cpu-26-3","memory_power | cpu-26-30","memory_power | cpu-26-31","memory_power | cpu-26-32","memory_power | cpu-26-33","memory_power | cpu-26-34","memory_power | cpu-26-35","memory_power | cpu-26-37","memory_power | cpu-26-38","memory_power | cpu-26-39","memory_power | cpu-26-4","memory_power | cpu-26-40","memory_power | cpu-26-41","memory_power | cpu-26-42","memory_power | cpu-26-43","memory_power | cpu-26-44","memory_power | cpu-26-45","memory_power | cpu-26-46","memory_power | cpu-26-47","memory_power | cpu-26-48","memory_power | cpu-26-49","memory_power | cpu-26-5","memory_power | cpu-26-50","memory_power | cpu-26-51","memory_power | cpu-26-52","memory_power | cpu-26-53","memory_power | cpu-26-54","memory_power | cpu-26-55","memory_power | cpu-26-56","memory_power | cpu-26-57","memory_power | cpu-26-58","memory_power | cpu-26-59","memory_power | cpu-26-6","memory_power | cpu-26-60","memory_power | cpu-26-7","memory_power | cpu-26-8","memory_power | cpu-26-9"
2021-08-11 00:00:00,135,159,134,162,145,132,131,132,153,132,132,154,151,231,147,138,131,133,134,135,133,137,136,227,138,181,136,135,135,139,132,140,134,135,134,134,135,132,147,153,161,230,150,171,140,132,204,132,133,163,137,132,137,159,164,160,184,133,230,137,138,136,181,191,138,136,182,135,156,150,140,133,135,163,152,157,156,166,154,166,159,157,157,159,161,159,163,185,135,133,139,136,135,135,135,131,131,136,136,135,171,177,202,131,199,166,160,158,158,161,164,135,151,134,136,137,162,215,138,134,131,130,132,182,134,151,220,179,137,133,136,135,136,137,134,156,134,230,142,165,154,160,156,163,153,161,162,158,177,129,134,133,135,133,135,133,155,135,209,131,138,136,135,138,162,197,169,130,137,140,206,133,134,136,135,134,137,136,200,135,129,132,131,134,136,160,152,158,156,163,152,140,157,158,146,209,180,134,132,132,168,136,155,159,156,160,157,164,163,158,161,234,132,230,186,163,155,157,156,160,155,154,159,133,209,133,132,134
2021-08-11 00:01:00,134,165,135,200,143,132,131,132,149,131,133,156,147,217,154,138,130,133,134,135,132,136,137,217,138,174,137,136,138,138,132,140,134,135,126,133,136,132,165,166,168,231,150,169,140,132,198,133,134,163,137,132,137,158,162,160,179,134,230,137,137,136,153,172,148,137,155,135,183,173,154,133,136,163,152,157,155,163,154,161,162,159,157,163,161,161,161,199,135,133,137,136,135,136,138,132,131,137,135,134,172,183,175,131,207,162,159,157,157,165,163,135,151,133,136,137,167,184,138,134,131,130,132,180,135,155,214,181,137,132,136,134,136,136,133,157,133,231,142,165,156,159,162,163,152,160,161,156,196,129,134,134,135,134,136,133,156,135,161,131,137,137,134,138,195,187,173,130,137,141,199,134,134,136,135,134,137,135,171,135,130,132,131,134,136,159,156,157,162,160,152,141,164,155,153,208,174,135,131,132,166,136,158,162,163,165,159,158,164,158,159,228,132,228,187,158,156,161,155,161,157,154,151,134,220,133,132,135
2021-08-11 00:02:00,133,162,134,198,136,133,132,132,150,131,133,152,150,232,151,138,131,133,133,135,133,136,136,229,138,197,137,135,137,139,131,140,135,135,133,133,135,131,183,171,168,227,145,169,140,132,196,132,133,165,137,132,137,160,161,160,181,134,223,137,141,136,135,180,150,137,162,135,141,157,143,133,136,163,153,158,155,164,155,166,165,164,158,163,159,158,163,200,136,133,137,137,135,135,135,131,132,137,136,134,172,181,128,132,149,160,163,161,160,160,161,135,155,134,136,137,164,183,138,133,132,130,132,184,135,155,210,190,137,133,137,135,136,137,134,159,134,231,141,161,161,160,158,158,153,163,163,159,195,129,135,133,135,133,135,133,156,135,135,131,137,137,135,138,197,185,176,130,137,141,138,134,135,137,135,134,137,136,131,136,131,133,132,134,136,154,153,157,155,161,147,140,155,160,155,209,180,134,132,132,162,136,156,157,159,161,161,158,163,159,158,235,132,229,183,155,156,154,163,162,153,158,155,134,219,133,132,134
2021-08-11 00:03:00,133,158,135,197,138,141,131,132,151,131,132,153,151,235,141,138,130,133,135,135,134,137,135,225,138,198,137,137,140,149,132,140,134,135,130,133,134,132,160,153,164,229,149,165,140,132,196,132,134,164,137,133,136,165,160,159,177,135,229,136,137,137,191,170,147,136,190,134,201,156,147,132,136,161,156,155,157,161,155,162,160,159,158,165,162,160,161,207,135,133,138,139,137,135,134,131,131,138,135,135,166,180,142,131,136,160,160,158,157,161,159,144,159,134,137,145,169,188,137,133,131,129,133,175,134,151,227,189,138,137,137,136,135,147,134,161,134,229,142,165,157,165,157,161,154,159,162,158,200,129,135,133,135,134,135,133,156,135,143,141,139,142,136,139,194,172,170,130,137,142,138,135,135,137,135,134,136,136,148,136,130,132,131,134,135,156,157,158,158,161,154,141,155,157,156,213,188,135,133,132,169,136,159,157,159,168,158,158,160,156,166,235,132,213,188,161,159,157,158,157,154,157,154,135,220,133,132,134
2021-08-11 00:04:00,134,161,134,179,166,145,131,133,148,132,133,152,147,218,142,139,131,161,157,136,174,149,136,228,138,177,174,171,169,171,132,140,134,135,125,133,135,131,180,162,164,224,149,168,140,132,197,133,133,150,136,132,137,159,160,160,184,146,230,137,137,137,201,189,139,137,201,134,196,159,142,133,136,165,155,160,154,164,160,163,160,157,159,161,159,162,159,201,136,133,165,164,148,167,137,132,131,137,135,135,173,182,175,131,152,163,158,159,156,161,159,180,160,153,172,173,165,196,138,134,131,129,131,189,135,154,219,193,166,177,160,156,185,174,158,161,133,232,148,164,156,164,158,159,152,163,166,161,198,129,134,133,135,133,136,133,157,135,189,158,150,179,162,159,198,163,165,130,137,141,202,134,135,136,135,134,137,136,196,136,129,132,131,134,136,157,156,158,160,159,151,140,159,156,149,206,178,134,132,132,163,136,157,157,160,159,157,159,161,158,160,234,135,224,190,161,153,159,160,163,155,159,150,133,203,134,132,134
2021-08-11 00:05:00,134,164,134,168,193,159,131,132,153,132,133,154,150,217,143,138,130,156,177,136,176,199,136,220,139,176,199,169,179,185,131,140,134,135,126,133,135,131,163,155,182,224,150,164,140,132,201,133,134,147,137,133,137,160,160,159,172,206,218,136,142,137,196,200,155,137,198,134,193,155,142,134,136,162,140,160,154,161,155,161,161,160,157,160,163,155,163,204,135,133,186,207,172,204,137,131,132,138,135,135,177,182,207,132,200,165,160,157,159,165,164,199,155,191,201,201,168,184,138,133,131,130,132,198,135,155,226,171,219,188,202,187,169,196,180,158,133,232,147,162,155,163,160,160,157,159,163,157,166,129,135,133,135,133,136,133,157,135,212,173,178,190,191,205,193,161,177,130,137,142,220,135,135,137,136,134,137,137,211,135,130,132,132,134,135,158,152,159,158,162,147,140,160,158,155,208,192,135,132,132,164,136,155,160,158,158,155,159,164,159,161,235,134,230,186,155,153,156,159,162,158,154,153,134,218,133,133,134
2021-08-11 00:06:00,135,160,135,194,188,196,132,132,149,132,133,155,154,233,143,138,130,177,192,135,178,195,136,221,137,183,194,194,182,208,132,141,134,135,131,133,135,132,168,170,157,231,155,163,139,132,201,133,134,137,137,132,137,162,161,162,190,200,230,137,136,136,147,196,145,137,187,134,157,150,138,133,136,162,159,157,155,162,154,165,157,159,162,163,160,164,159,197,135,133,198,181,178,179,136,131,131,138,134,135,173,181,201,131,194,158,157,161,158,163,161,196,160,201,209,165,166,180,138,134,131,129,132,179,135,153,227,191,178,147,203,184,213,216,193,164,134,220,144,162,157,159,159,164,153,159,164,162,157,129,134,133,135,133,135,133,157,135,208,163,159,171,175,205,163,164,176,130,137,141,211,135,135,136,135,135,137,136,189,135,130,133,131,135,135,156,154,159,157,162,151,141,156,162,153,213,186,134,132,131,164,136,157,165,153,163,153,159,162,161,163,228,132,231,188,161,159,156,159,160,153,156,153,133,221,133,132,134
2021-08-11 00:07:00,134,159,134,160,157,189,131,132,149,132,132,155,160,233,144,138,131,187,165,135,181,176,136,221,138,184,199,184,212,195,132,140,134,134,130,133,135,132,161,165,162,227,151,160,139,132,203,133,133,136,137,132,137,163,162,162,187,176,230,137,134,136,175,164,144,137,149,134,171,149,138,133,135,165,158,160,153,167,155,166,161,161,162,165,158,164,161,193,135,134,177,197,196,185,136,131,132,138,135,135,163,180,163,132,210,162,155,159,158,156,162,196,152,180,186,208,168,173,138,134,131,130,132,183,135,154,197,192,212,193,169,203,200,176,173,159,133,214,143,163,158,161,156,161,159,161,162,157,169,129,134,133,135,134,136,133,160,135,169,193,201,225,161,183,171,185,173,130,137,141,177,135,134,137,135,135,137,136,157,136,130,133,131,134,136,158,152,156,161,163,150,140,155,159,159,209,193,135,132,132,166,136,157,160,159,160,155,158,159,155,160,234,133,230,185,162,153,159,157,161,153,154,157,133,215,133,132,134
2021-08-11 00:08:00,134,158,134,140,194,165,131,132,150,131,133,154,152,229,138,138,130,175,179,135,205,176,136,228,138,195,183,180,208,162,132,139,134,135,130,134,135,131,159,159,173,230,154,172,140,132,196,133,133,135,137,132,137,162,160,159,179,189,229,137,139,136,159,164,144,136,183,134,178,141,138,133,135,163,152,154,155,164,155,162,165,159,159,168,159,159,158,188,135,133,194,213,169,203,137,131,132,137,135,134,175,179,134,131,137,163,161,157,162,163,164,196,160,194,195,214,165,175,137,134,131,130,131,188,135,157,179,191,193,181,199,167,170,172,205,158,134,219,139,160,155,161,156,159,152,160,159,161,151,129,134,133,135,133,135,134,154,134,135,172,197,194,181,195,165,179,173,130,137,141,138,134,134,136,135,134,137,136,130,135,129,133,132,134,135,154,156,157,157,159,149,140,159,157,149,211,175,134,132,131,164,136,156,157,153,162,161,159,159,161,165,235,131,197,187,160,155,157,157,160,152,157,158,133,201,133,132,134
2021-08-11 00:09:00,134,158,133,148,195,180,132,132,149,132,132,151,153,224,137,139,130,170,184,135,193,194,136,233,138,163,199,152,201,181,132,140,134,135,135,133,135,131,165,161,169,223,151,171,140,131,200,132,133,153,137,132,137,160,159,158,181,196,225,136,133,137,175,193,152,136,195,134,177,141,139,133,136,166,156,156,154,162,155,160,158,160,157,167,162,161,162,187,135,134,206,212,177,174,137,131,131,138,135,135,173,185,134,131,135,158,161,155,159,159,157,213,160,174,191,190,164,193,138,134,132,130,133,178,135,156,212,172,187,179,181,182,175,198,184,159,133,231,139,161,155,159,157,159,153,155,160,158,136,129,134,133,136,134,136,133,161,135,135,171,178,174,199,205,136,202,169,130,137,141,137,135,135,137,135,134,137,135,132,135,130,132,131,133,135,155,153,160,156,161,149,140,156,159,155,205,186,134,132,131,166,136,161,161,158,159,157,157,160,159,162,235,132,229,185,158,156,156,157,159,154,152,157,133,221,133,132,135
