"time","cpu_power | cpu-23-1","cpu_power | cpu-23-10","cpu_power | cpu-23-11","cpu_power | cpu-23-12","cpu_power | cpu-23-13","cpu_power | cpu-23-14","cpu_power | cpu-23-17","cpu_power | cpu-23-18","cpu_power | cpu-23-19","cpu_power | cpu-23-2","cpu_power | cpu-23-20","cpu_power | cpu-23-21","cpu_power | cpu-23-22","cpu_power | cpu-23-23","cpu_power | cpu-23-24","cpu_power | cpu-23-25","cpu_power | cpu-23-26","cpu_power | cpu-23-27","cpu_power | cpu-23-28","cpu_power | cpu-23-3","cpu_power | cpu-23-30","cpu_power | cpu-23-31","cpu_power | cpu-23-32","cpu_power | cpu-23-33","cpu_power | cpu-23-34","cpu_power | cpu-23-35","cpu_power | cpu-23-36","cpu_power | cpu-23-37","cpu_power | cpu-23-38","cpu_power | cpu-23-39","cpu_power | cpu-23-4","cpu_power | cpu-23-40","cpu_power | cpu-23-41","cpu_power | cpu-23-42","cpu_power | cpu-23-43","cpu_power | cpu-23-44","cpu_power | cpu-23-45","cpu_power | cpu-23-46","cpu_power | cpu-23-47","cpu_power | cpu-23-48","cpu_power | cpu-23-49","cpu_power | cpu-23-5","cpu_power | cpu-23-50","cpu_power | cpu-23-51","cpu_power | cpu-23-52","cpu_power | cpu-23-53","cpu_power | cpu-23-54","cpu_power | cpu-23-55","cpu_power | cpu-23-56","cpu_power | cpu-23-57","cpu_power | cpu-23-58","cpu_power | cpu-23-6","cpu_power | cpu-23-60","cpu_power | cpu-23-7","cpu_power | cpu-23-8","cpu_power | cpu-23-9","cpu_power | cpu-24-1","cpu_power | cpu-24-10","cpu_power | cpu-24-11","cpu_power | cpu-24-12","cpu_power | cpu-24-13","cpu_power | cpu-24-14","cpu_power | cpu-24-15","cpu_power | cpu-24-16","cpu_power | cpu-24-17","cpu_power | cpu-24-18","cpu_power | cpu-24-19","cpu_power | cpu-24-2","cpu_power | cpu-24-20","cpu_power | cpu-24-21","cpu_power | cpu-24-22","cpu_power | cpu-24-23","cpu_power | cpu-24-24","cpu_power | cpu-24-25","cpu_power | cpu-24-26","cpu_power | cpu-24-27","cpu_power | cpu-24-28","cpu_power | cpu-24-29","cpu_power | cpu-24-3","cpu_power | cpu-24-30","cpu_power | cpu-24-31","cpu_power | cpu-24-32","cpu_power | cpu-24-33","cpu_power | cpu-24-34","cpu_power | cpu-24-35","cpu_power | cpu-24-36","cpu_power | cpu-24-37","cpu_power | cpu-24-38","cpu_power | cpu-24-39","cpu_power | cpu-24-4","cpu_power | cpu-24-40","cpu_power | cpu-24-41","cpu_power | cpu-24-42","cpu_power | cpu-24-43","cpu_power | cpu-24-44","cpu_power | cpu-24-45","cpu_power | cpu-24-46","cpu_power | cpu-24-47","cpu_power | cpu-24-48","cpu_power | cpu-24-49","cpu_power | cpu-24-5","cpu_power | cpu-24-50","cpu_power | cpu-24-51","cpu_power | cpu-24-52","cpu_power | cpu-24-53","cpu_power | cpu-24-54","cpu_power | cpu-24-55","cpu_power | cpu-24-56","cpu_power | cpu-24-57","cpu_power | cpu-24-58","cpu_power | cpu-24-59","cpu_power | cpu-24-6","cpu_power | cpu-24-60","cpu_power | cpu-24-7","cpu_power | cpu-24-8","cpu_power | cpu-24-9","cpu_power | cpu-25-1","cpu_power | cpu-25-10","cpu_power | cpu-25-11","cpu_power | cpu-25-12","cpu_power | cpu-25-13","cpu_power | cpu-25-14","cpu_power | cpu-25-15","cpu_power | cpu-25-16","cpu_power | cpu-25-19","cpu_power | cpu-25-2","cpu_power | cpu-25-21","cpu_power | cpu-25-22","cpu_power | cpu-25-23","cpu_power | cpu-25-24","cpu_power | cpu-25-25","cpu_power | cpu-25-26","cpu_power | cpu-25-27","cpu_power | cpu-25-28","cpu_power | cpu-25-29","cpu_power | cpu-25-3","cpu_power | cpu-25-30","cpu_power | cpu-25-31","cpu_power | cpu-25-33","cpu_power | cpu-25-34","cpu_power | cpu-25-35","cpu_power | cpu-25-36","cpu_power | cpu-25-37","cpu_power | cpu-25-38","cpu_power | cpu-25-39","cpu_power | cpu-25-4","cpu_power | cpu-25-40","cpu_power | cpu-25-41","cpu_power | cpu-25-42","cpu_power | cpu-25-43","cpu_power | cpu-25-44","cpu_power | cpu-25-45","cpu_power | cpu-25-46","cpu_power | cpu-25-47","cpu_power | cpu-25-48","cpu_power | cpu-25-49","cpu_power | cpu-25-5","cpu_power | cpu-25-51","cpu_power | cpu-25-52","cpu_power | cpu-25-53","cpu_power | cpu-25-54","cpu_power | cpu-25-55","cpu_power | cpu-25-56","cpu_power | cpu-25-57","cpu_power | cpu-25-58","cpu_power | cpu-25-6","cpu_power | cpu-25-60","cpu_power | cpu-25-7","cpu_power | cpu-25-8","cpu_power | cpu-25-9","cpu_power | cpu-26-1","cpu_power | cpu-26-10","cpu_power | cpu-26-11","cpu_power | cpu-26-12","cpu_power | cpu-26-13","cpu_power | cpu-26-14","cpu_power | cpu-26-15","cpu_power | cpu-26-16","cpu_power | cpu-26-17","cpu_power | cpu-26-18","cpu_power | cpu-26-19","cpu_power | cpu-26-2","cpu_power | cpu-26-20","cpu_power | cpu-26-21","cpu_power | cpu-26-22","cpu_power | cpu-26-23","cpu_power | cpu-26-24","cpu_power | cpu-26-25","cpu_power | cpu-26-26","cpu_power | cpu-26-28","cpu_power | cpu-26-29","cpu_power | cpu-26-3","cpu_power | cpu-26-30","cpu_power | cpu-26-31","cpu_power | cpu-26-32","cpu_power | cpu-26-33","cpu_power | cpu-26-34","cpu_power | cpu-26-35","cpu_power | cpu-26-37","cpu_power | cpu-26-38","cpu_power | cpu-26-39","cpu_power | cpu-26-4","cpu_power | cpu-26-40","cpu_power | cpu-26-41","cpu_power | cpu-26-42","cpu_power | cpu-26-43","cpu_power | cpu-26-44","cpu_power | cpu-26-45","cpu_power | cpu-26-46","cpu_power | cpu-26-47","cpu_power | cpu-26-48","cpu_power | cpu-26-49","cpu_power | cpu-26-5","cpu_power | cpu-26-50","cpu_power | cpu-26-51","cpu_power | cpu-26-52","cpu_power | cpu-26-53","cpu_power | cpu-26-54","cpu_power | cpu-26-55","cpu_power | cpu-26-56","cpu_power | cpu-26-57","cpu_power | cpu-26-58","cpu_power | cpu-26-59","cpu_power | cpu-26-6","cpu_power | cpu-26-60","cpu_power | cpu-26-7","cpu_power | cpu-26-8","cpu_power | cpu-26-9"
2021-08-11 00:00:00,346,799,342,798,799,798,336,332,569,346,336,637,771,796,617,340,338,799,798,338,798,798,338,757,338,791,797,799,799,799,338,336,338,336,526,785,340,336,755,748,726,777,526,533,338,336,788,332,336,735,332,336,336,798,798,798,693,799,779,340,698,342,797,799,369,340,799,340,796,756,607,338,338,798,798,797,798,798,751,799,797,798,798,799,798,798,798,799,336,338,798,798,797,798,412,340,342,336,341,343,782,784,793,336,787,798,797,797,799,797,798,798,797,798,798,798,798,798,338,336,336,336,338,798,336,797,781,799,798,798,798,799,798,798,799,799,336,765,533,799,798,798,798,798,799,798,798,798,800,340,336,338,339,338,332,334,798,336,795,798,798,798,798,798,787,796,760,332,336,799,796,342,336,340,338,342,338,338,793,334,334,336,336,340,338,399,798,798,797,798,798,340,798,798,539,798,798,338,334,340,799,340,798,799,798,798,798,799,799,798,798,764,336,777,630,798,797,799,798,798,798,798,798,338,784,338,336,339
2021-08-11 00:01:00,346,798,342,799,799,720,336,332,563,346,336,655,768,793,614,340,338,757,797,338,798,709,338,758,338,794,752,663,719,645,338,336,339,336,533,786,340,336,777,772,748,780,526,532,338,336,780,332,336,687,332,336,337,798,799,799,682,799,781,340,746,340,797,799,420,340,793,340,797,741,595,338,338,799,798,798,798,798,708,798,799,798,797,798,798,798,798,799,336,338,798,685,755,798,561,340,342,336,341,343,786,782,797,336,786,798,799,798,798,798,798,681,798,797,798,577,798,798,339,336,336,336,338,796,336,798,781,797,736,725,756,756,798,613,798,798,336,770,521,798,798,798,799,798,797,798,798,799,798,340,336,339,340,338,332,335,797,336,798,715,717,676,756,757,794,799,751,332,336,798,796,342,336,340,338,342,338,338,796,334,334,336,336,340,338,399,798,798,798,798,798,340,797,799,533,797,798,338,334,340,798,340,798,798,798,798,798,798,798,797,798,772,336,773,599,798,798,798,798,797,798,799,798,338,777,338,336,342
2021-08-11 00:02:00,346,799,342,793,519,564,336,332,534,346,336,647,761,791,579,340,338,528,512,339,530,568,338,769,338,798,527,585,592,620,338,336,340,336,527,785,340,336,789,779,763,784,521,533,338,338,763,332,336,675,332,336,338,798,798,798,675,494,783,340,713,340,797,798,445,340,797,340,793,717,600,339,338,797,798,798,798,798,713,798,798,799,798,797,798,798,798,798,336,338,577,645,527,519,395,340,342,336,341,343,787,784,798,336,797,798,798,798,798,798,799,616,798,495,512,667,797,800,340,336,336,336,338,798,336,797,783,798,568,568,551,539,485,692,589,799,336,768,497,798,797,798,798,798,798,798,799,797,800,340,336,340,340,338,332,336,798,336,798,577,568,605,527,544,795,799,746,332,336,798,799,342,336,340,338,342,338,338,797,334,334,336,336,340,338,400,798,799,798,798,798,340,798,798,528,798,799,338,334,340,798,340,798,797,799,798,799,798,798,797,798,766,336,777,599,798,798,797,798,798,799,798,798,338,784,338,336,342
2021-08-11 00:03:00,346,798,342,794,742,790,336,332,556,346,336,679,772,795,607,340,338,752,697,339,720,679,338,776,338,794,665,683,692,722,338,336,340,338,530,786,340,336,768,759,752,786,546,531,338,338,762,332,336,697,332,336,338,798,799,799,693,657,777,340,737,400,799,799,384,340,791,340,798,718,581,340,338,798,798,798,798,798,737,798,798,798,797,798,798,798,798,798,336,338,679,715,713,750,564,340,342,338,341,344,778,789,797,336,797,799,798,799,798,797,797,670,798,706,653,666,797,797,340,336,336,336,338,799,336,798,780,798,713,682,699,715,714,691,704,798,336,774,577,798,798,799,798,798,798,798,798,798,798,340,336,340,340,338,332,336,797,336,798,670,638,687,674,638,798,798,751,332,336,798,798,342,336,340,338,342,338,338,795,334,334,336,336,340,338,399,799,798,798,798,798,340,798,797,588,798,797,338,334,340,798,340,798,798,798,798,797,798,799,798,798,767,336,765,636,798,799,798,799,798,797,798,798,338,778,338,336,342
2021-08-11 00:04:00,346,799,342,798,798,793,336,332,556,346,336,666,782,795,593,340,339,735,753,340,750,795,338,761,338,793,754,798,796,796,338,336,340,338,533,786,340,336,778,764,740,790,665,534,338,339,763,332,336,711,332,336,338,798,799,799,772,756,780,340,721,455,799,798,364,340,793,340,790,711,539,340,338,798,798,798,798,798,798,798,798,798,798,798,797,797,799,798,336,338,744,796,754,755,475,340,342,338,341,344,785,796,795,336,794,798,798,799,798,799,797,795,798,752,754,793,798,799,340,336,336,336,338,797,336,798,792,798,795,791,755,797,753,794,746,799,336,769,646,798,797,798,798,798,798,798,798,798,799,341,336,340,340,338,332,336,798,336,795,797,758,789,750,797,798,797,736,332,336,798,794,342,336,340,338,342,339,338,794,335,334,336,336,340,338,399,799,798,798,798,799,340,797,798,695,799,797,338,334,341,798,340,797,798,798,798,798,798,798,799,798,766,471,776,794,799,799,798,798,798,797,798,798,338,781,338,336,342
2021-08-11 00:05:00,347,798,342,798,795,798,336,332,578,346,336,694,783,796,599,340,340,799,795,340,797,797,338,755,338,792,798,796,798,798,338,336,340,338,532,787,340,336,778,766,762,789,655,533,338,339,677,332,336,716,332,336,338,798,799,797,745,792,795,340,652,340,797,797,423,340,789,340,790,701,557,340,338,798,798,798,798,798,789,797,798,798,798,798,797,798,797,798,338,338,794,796,798,797,448,340,342,338,341,344,784,710,792,336,789,798,799,798,797,798,799,799,798,791,792,793,798,798,340,336,336,336,338,798,336,799,780,799,792,796,793,797,795,798,794,798,336,767,603,798,798,798,799,798,798,798,799,797,798,342,336,340,340,338,332,336,798,336,794,796,798,797,788,798,792,798,759,332,336,799,793,342,337,340,338,342,339,340,793,336,334,336,336,340,339,399,798,798,799,798,799,341,798,798,641,799,800,338,334,342,798,340,798,797,798,799,798,798,798,799,798,758,406,771,748,798,798,798,799,798,799,798,799,338,781,338,336,342
2021-08-11 00:06:00,347,797,342,798,799,795,336,332,516,346,336,659,757,795,617,340,339,798,796,339,798,795,338,762,338,794,799,796,797,796,338,336,340,338,530,786,341,336,777,767,747,787,578,531,339,339,677,332,336,543,333,336,338,798,798,798,735,795,782,340,719,340,797,798,423,340,797,340,797,682,584,339,338,798,798,799,799,798,746,799,798,799,798,799,798,798,798,799,337,338,795,795,795,797,441,340,342,338,341,344,779,669,792,336,791,798,798,798,798,798,798,797,798,790,795,796,798,800,339,336,336,336,338,799,336,798,781,797,797,796,797,796,796,797,795,798,336,771,538,798,797,797,798,799,798,798,798,798,798,341,336,340,340,338,332,336,798,336,794,798,798,799,793,796,792,798,761,332,336,798,795,342,336,340,338,342,338,338,795,335,334,336,336,340,338,399,798,799,798,798,798,340,798,798,547,798,799,338,334,341,799,340,798,798,798,798,798,798,798,798,798,770,336,768,635,798,798,799,798,799,798,797,798,338,781,338,336,341
2021-08-11 00:07:00,346,798,342,799,798,797,336,332,552,346,336,652,736,789,571,340,338,799,799,338,796,797,338,776,338,793,797,798,794,797,338,336,339,336,530,785,340,336,773,767,738,788,555,531,338,337,675,332,336,365,332,336,337,798,798,799,737,796,779,340,680,339,799,798,401,340,794,340,797,684,591,338,338,798,798,798,798,798,661,799,797,798,798,799,799,798,798,798,336,338,796,792,796,799,401,340,342,337,340,343,774,664,797,336,789,798,799,798,798,798,798,798,798,796,798,793,798,799,338,336,336,336,338,799,336,798,669,798,792,793,797,798,798,799,796,798,336,772,520,798,798,797,798,798,799,798,798,798,798,340,336,338,339,338,332,336,799,336,796,795,797,792,799,796,796,799,762,332,336,798,797,342,336,340,338,341,337,338,796,334,334,336,336,340,338,398,799,798,798,798,799,340,798,798,545,799,797,338,334,340,797,340,799,799,798,798,798,798,798,798,798,768,336,775,591,798,798,798,798,798,797,798,798,338,784,337,336,338
2021-08-11 00:08:00,345,797,341,799,795,797,336,332,567,345,336,648,731,795,618,340,337,797,796,338,794,799,338,757,338,793,798,797,798,799,338,336,338,334,530,785,340,336,773,758,749,782,556,527,338,336,675,332,336,338,332,336,335,798,797,798,720,795,779,339,623,338,797,799,370,340,798,340,797,740,560,338,338,798,798,799,798,798,607,797,798,798,798,798,798,798,797,798,336,338,796,790,798,798,389,340,342,336,340,343,768,668,798,336,797,798,798,799,798,798,799,797,799,789,795,791,798,799,338,336,335,336,338,797,336,798,711,797,793,794,793,799,798,798,793,798,336,773,483,798,797,798,798,798,799,798,799,798,798,340,336,338,338,337,332,334,798,336,798,797,798,797,794,796,790,798,737,332,336,797,798,342,334,340,338,340,336,338,798,334,334,336,336,340,338,399,798,798,798,797,798,340,798,798,545,798,799,337,334,340,797,340,798,799,798,798,797,798,798,799,798,763,336,783,591,799,798,798,798,799,798,798,798,338,773,336,336,338
2021-08-11 00:09:00,344,797,340,799,791,799,336,332,548,344,336,667,747,796,606,340,337,797,795,338,798,799,338,728,338,790,797,798,798,798,338,334,336,334,527,786,340,336,771,765,754,783,576,524,338,336,719,332,336,488,332,336,334,798,798,798,674,793,781,338,619,419,794,798,485,340,798,340,793,657,538,338,338,798,798,799,799,799,677,798,798,799,797,798,798,798,798,799,334,338,789,796,798,799,621,340,342,336,340,343,767,715,715,335,797,797,798,798,798,798,798,797,798,797,798,792,799,799,338,336,334,336,338,799,336,798,773,799,796,795,796,799,798,798,793,798,336,767,504,798,798,798,797,798,798,798,798,798,797,340,336,338,338,336,332,334,798,336,710,797,799,799,790,796,788,798,775,332,336,798,798,342,334,340,338,340,336,338,700,334,333,336,336,340,338,399,797,797,797,798,798,340,799,797,628,798,798,336,334,339,798,340,797,798,797,798,798,797,798,798,798,768,335,774,667,799,798,798,798,798,798,798,798,338,778,336,336,338
