"time","CPU_usage | cpu-23-1","CPU_usage | cpu-23-10","CPU_usage | cpu-23-11","CPU_usage | cpu-23-12","CPU_usage | cpu-23-13","CPU_usage | cpu-23-14","CPU_usage | cpu-23-17","CPU_usage | cpu-23-18","CPU_usage | cpu-23-19","CPU_usage | cpu-23-2","CPU_usage | cpu-23-20","CPU_usage | cpu-23-21","CPU_usage | cpu-23-22","CPU_usage | cpu-23-23","CPU_usage | cpu-23-24","CPU_usage | cpu-23-25","CPU_usage | cpu-23-26","CPU_usage | cpu-23-27","CPU_usage | cpu-23-28","CPU_usage | cpu-23-3","CPU_usage | cpu-23-30","CPU_usage | cpu-23-31","CPU_usage | cpu-23-32","CPU_usage | cpu-23-33","CPU_usage | cpu-23-34","CPU_usage | cpu-23-35","CPU_usage | cpu-23-36","CPU_usage | cpu-23-37","CPU_usage | cpu-23-38","CPU_usage | cpu-23-39","CPU_usage | cpu-23-4","CPU_usage | cpu-23-40","CPU_usage | cpu-23-41","CPU_usage | cpu-23-42","CPU_usage | cpu-23-43","CPU_usage | cpu-23-44","CPU_usage | cpu-23-45","CPU_usage | cpu-23-46","CPU_usage | cpu-23-47","CPU_usage | cpu-23-48","CPU_usage | cpu-23-49","CPU_usage | cpu-23-5","CPU_usage | cpu-23-50","CPU_usage | cpu-23-51","CPU_usage | cpu-23-52","CPU_usage | cpu-23-53","CPU_usage | cpu-23-54","CPU_usage | cpu-23-55","CPU_usage | cpu-23-56","CPU_usage | cpu-23-57","CPU_usage | cpu-23-58","CPU_usage | cpu-23-6","CPU_usage | cpu-23-60","CPU_usage | cpu-23-7","CPU_usage | cpu-23-8","CPU_usage | cpu-23-9","CPU_usage | cpu-24-1","CPU_usage | cpu-24-10","CPU_usage | cpu-24-11","CPU_usage | cpu-24-12","CPU_usage | cpu-24-13","CPU_usage | cpu-24-14","CPU_usage | cpu-24-15","CPU_usage | cpu-24-16","CPU_usage | cpu-24-17","CPU_usage | cpu-24-18","CPU_usage | cpu-24-19","CPU_usage | cpu-24-2","CPU_usage | cpu-24-20","CPU_usage | cpu-24-21","CPU_usage | cpu-24-22","CPU_usage | cpu-24-23","CPU_usage | cpu-24-24","CPU_usage | cpu-24-25","CPU_usage | cpu-24-26","CPU_usage | cpu-24-27","CPU_usage | cpu-24-28","CPU_usage | cpu-24-29","CPU_usage | cpu-24-3","CPU_usage | cpu-24-30","CPU_usage | cpu-24-31","CPU_usage | cpu-24-32","CPU_usage | cpu-24-33","CPU_usage | cpu-24-34","CPU_usage | cpu-24-35","CPU_usage | cpu-24-36","CPU_usage | cpu-24-37","CPU_usage | cpu-24-38","CPU_usage | cpu-24-39","CPU_usage | cpu-24-4","CPU_usage | cpu-24-40","CPU_usage | cpu-24-41","CPU_usage | cpu-24-42","CPU_usage | cpu-24-43","CPU_usage | cpu-24-44","CPU_usage | cpu-24-45","CPU_usage | cpu-24-46","CPU_usage | cpu-24-47","CPU_usage | cpu-24-48","CPU_usage | cpu-24-49","CPU_usage | cpu-24-5","CPU_usage | cpu-24-50","CPU_usage | cpu-24-51","CPU_usage | cpu-24-52","CPU_usage | cpu-24-53","CPU_usage | cpu-24-54","CPU_usage | cpu-24-55","CPU_usage | cpu-24-56","CPU_usage | cpu-24-57","CPU_usage | cpu-24-58","CPU_usage | cpu-24-59","CPU_usage | cpu-24-6","CPU_usage | cpu-24-60","CPU_usage | cpu-24-7","CPU_usage | cpu-24-8","CPU_usage | cpu-24-9","CPU_usage | cpu-25-1","CPU_usage | cpu-25-10","CPU_usage | cpu-25-11","CPU_usage | cpu-25-12","CPU_usage | cpu-25-13","CPU_usage | cpu-25-14","CPU_usage | cpu-25-15","CPU_usage | cpu-25-16","CPU_usage | cpu-25-19","CPU_usage | cpu-25-2","CPU_usage | cpu-25-21","CPU_usage | cpu-25-22","CPU_usage | cpu-25-23","CPU_usage | cpu-25-24","CPU_usage | cpu-25-25","CPU_usage | cpu-25-26","CPU_usage | cpu-25-27","CPU_usage | cpu-25-28","CPU_usage | cpu-25-29","CPU_usage | cpu-25-3","CPU_usage | cpu-25-30","CPU_usage | cpu-25-31","CPU_usage | cpu-25-33","CPU_usage | cpu-25-34","CPU_usage | cpu-25-35","CPU_usage | cpu-25-36","CPU_usage | cpu-25-37","CPU_usage | cpu-25-38","CPU_usage | cpu-25-39","CPU_usage | cpu-25-4","CPU_usage | cpu-25-40","CPU_usage | cpu-25-41","CPU_usage | cpu-25-42","CPU_usage | cpu-25-43","CPU_usage | cpu-25-44","CPU_usage | cpu-25-45","CPU_usage | cpu-25-46","CPU_usage | cpu-25-47","CPU_usage | cpu-25-48","CPU_usage | cpu-25-49","CPU_usage | cpu-25-5","CPU_usage | cpu-25-51","CPU_usage | cpu-25-52","CPU_usage | cpu-25-53","CPU_usage | cpu-25-54","CPU_usage | cpu-25-55","CPU_usage | cpu-25-56","CPU_usage | cpu-25-57","CPU_usage | cpu-25-58","CPU_usage | cpu-25-6","CPU_usage | cpu-25-60","CPU_usage | cpu-25-7","CPU_usage | cpu-25-8","CPU_usage | cpu-25-9","CPU_usage | cpu-26-1","CPU_usage | cpu-26-10","CPU_usage | cpu-26-11","CPU_usage | cpu-26-12","CPU_usage | cpu-26-13","CPU_usage | cpu-26-14","CPU_usage | cpu-26-15","CPU_usage | cpu-26-16","CPU_usage | cpu-26-17","CPU_usage | cpu-26-18","CPU_usage | cpu-26-19","CPU_usage | cpu-26-2","CPU_usage | cpu-26-20","CPU_usage | cpu-26-21","CPU_usage | cpu-26-22","CPU_usage | cpu-26-23","CPU_usage | cpu-26-24","CPU_usage | cpu-26-25","CPU_usage | cpu-26-26","CPU_usage | cpu-26-28","CPU_usage | cpu-26-29","CPU_usage | cpu-26-3","CPU_usage | cpu-26-30","CPU_usage | cpu-26-31","CPU_usage | cpu-26-32","CPU_usage | cpu-26-33","CPU_usage | cpu-26-34","CPU_usage | cpu-26-35","CPU_usage | cpu-26-37","CPU_usage | cpu-26-38","CPU_usage | cpu-26-39","CPU_usage | cpu-26-4","CPU_usage | cpu-26-40","CPU_usage | cpu-26-41","CPU_usage | cpu-26-42","CPU_usage | cpu-26-43","CPU_usage | cpu-26-44","CPU_usage | cpu-26-45","CPU_usage | cpu-26-46","CPU_usage | cpu-26-47","CPU_usage | cpu-26-48","CPU_usage | cpu-26-49","CPU_usage | cpu-26-5","CPU_usage | cpu-26-50","CPU_usage | cpu-26-51","CPU_usage | cpu-26-52","CPU_usage | cpu-26-53","CPU_usage | cpu-26-54","CPU_usage | cpu-26-55","CPU_usage | cpu-26-56","CPU_usage | cpu-26-57","CPU_usage | cpu-26-58","CPU_usage | cpu-26-59","CPU_usage | cpu-26-6","CPU_usage | cpu-26-60","CPU_usage | cpu-26-7","CPU_usage | cpu-26-8","CPU_usage | cpu-26-9"
2021-08-11 00:00:00,1,100,1,87.5,100,100,1,1,49.7,1,1,18.5,43.4,100,25.8,1,1,100,100,1,100,100,1,100,1,89,100,100,100,100,1,1,1,1,100,79,1,1,75,75,75,100,15,12.7,1,1,55.2,1,1,32.3,1,1,1,100,100,100,26.4,100,100,1,35.8,1,63,83.5,9.92,1,63,1,63,37.3,26,1,1,100,100,100,100,100,54.5,100,100,100,100,100,100,100,100,75,1,1,100,100,100,100,19.3,1,1,1,1,1,58.8,50.2,99.8,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,1,1,1,1,100,1,100,100,100,100,100,100,100,100,100,100,100,1,100,16.3,100,100,100,100,100,100,100,100,100,63,1,1,1,1,1,1,1,100,1,100,100,100,100,100,100,63,100,39.9,1,1,100,100,1,1,1,1,1,1,1,100,1,1,1,1,1,1,50,100,100,100,100,100,1,100,100,12.8,100,100,1,1,1,100,1,100,100,100,100,100,100,100,100,100,100,2,100,42.3,100,100,100,100,100,100,100,100,1,100,1,1,1
2021-08-11 00:01:00,1,100,1,87.3,100,92.5,1,1,46.8,1,1,18.5,42.7,100,25.7,1,1,100,100,1,100,84.8,1,100,1,89.7,91.8,77.2,89.8,79.5,1,1,1,1,100,79,1,1,75,75,75,100,15,12.5,1,1,50.8,1,1,28.8,1,1,1,100,100,100,24.7,100,100,1,36,1,63,80.9,14.1,1,63,1,63,34.8,25.9,1,1,100,100,100,100,100,38,100,100,100,100,100,100,100,100,75.2,1,1,100,70.2,100,100,39.7,1,1,1,1,1,57.9,50,100,1,100,100,100,100,100,100,100,84.8,100,92.4,100,45.8,100,100,1,1,1,1,1,100,1,100,100,100,84.8,92.4,99.7,86.9,100,64.9,100,100,1,100,14,100,100,100,100,100,100,100,100,100,63,1,1,1,1,1,1,1,100,1,100,83.5,92.5,84.8,99.8,92.4,63,100,40.4,1,1,100,100,1,1,1,1,1,1,1,100,1,1,1,1,1,1,50,100,100,100,100,100,1,100,100,12,100,100,1,1,1,100,1,100,100,100,100,100,100,100,100,100,99.8,1,100,38,100,100,100,100,100,100,100,100,1,100,1,1,1
2021-08-11 00:02:00,1,100,1,87.8,22.3,22.8,1,1,50.7,1,1,18.7,42.7,100,25.4,1,1,13.7,23.7,1,16.3,19.7,1,100,1,91.5,15,25.1,20.9,25.3,1,1,1,1,100,79,1,1,75,75.2,75,100,15,12.8,1,1,48.8,1,1,24.7,1,1,1,100,100,100,24.7,24.8,100,1,32,1,63,83.9,18.4,1,63,1,63,36.1,25.7,1,1,100,100,100,100,100,38,100,100,100,100,100,100,100,100,75,1,1,50.6,30.7,22.2,31.3,21.5,1,1,1,1,1,57.2,50,100,1,100,100,100,100,100,100,100,22.2,100,12.3,10.2,42.6,100,100,1,1,1,1,1,100,1,100,100,100,20,19.3,24.3,17.7,27.2,34.8,45.5,100,1,100,12,100,100,100,100,100,100,100,100,100,63,1,1,1,1,1,1,1,100,1,100,21.3,17.6,25.3,24.5,18.7,63,100,43.7,1,1,100,100,1,1,1,1,1,1,1,100,1,1,1,1,1,1,50,100,100,100,100,100,1,100,100,12,100,100,1,1,1,100,1,100,100,100,100,100,100,100,100,100,100,1,100,38,100,100,100,100,100,100,100,100,1,100,1,1,1
2021-08-11 00:03:00,1,100,1,83.9,70.4,72,1,1,38.4,1,1,21.1,45.4,99.8,25.6,1,1,61.3,58.3,1,56.7,57.1,1,100,1,90,53.1,40.6,67.2,78.5,1,1,1,1,100,79,1,1,75,75,75,100,16.3,12.2,1,1,48.8,1,1,28.2,1,1,1,100,100,100,25.6,50.4,100,1,35.9,6.92,63,84.8,3.50,1,63,1,62.8,32.2,25.8,1,1,100,100,100,100,100,47.5,100,100,100,100,100,100,100,100,75,1,1,52.7,55.9,56.6,51.6,49.5,1,1,1,1,1,53.8,57.1,99.8,1,100,100,100,100,100,100,100,49,100,54.8,58.3,75.2,100,100,1,1,1,1,1,100,1,100,100,100,58.7,52.6,62.6,71.6,49.3,62.8,37.1,100,1,100,16.7,100,100,100,100,100,100,100,100,100,63,1,1,1,1,1,1,1,100,1,100,76.8,56.5,45.7,63.6,51.1,65.8,100,44.4,1,1,100,100,1,1,1,1,1,1,1,100,1,1,1,1,1,1,50,100,100,100,100,100,1,100,100,15.9,100,100,1,1,1,100,1,100,100,100,100,100,100,100,100,100,100,1,99.8,46.2,100,100,100,100,100,100,100,100,1,100,1,1,1
2021-08-11 00:04:00,1,100,1,87.5,84.4,92.4,1,1,52.3,1,1,21.9,49.2,100,21.6,1,1,88.7,84.4,1,92.4,100,1,100,1,88.9,99.8,100,99.9,100,1,1,1,1,100,79,1,1,75,75,75,100,27.1,12.4,1,1,50.2,1,1,34.7,1,1,1,100,100,100,46.5,76.8,100,1,35.9,10.9,63,79.5,2.46,1,63,1,63,35.4,24.9,1,1,100,100,100,100,100,96.6,100,100,100,100,100,100,100,100,75,1,1,80,99.8,83.5,79.8,28.1,1,1,1,1,1,54.8,75.2,99.8,1,100,100,100,100,100,100,100,92.5,100,97.2,97.2,100,100,100,1,1,1,1,1,100,1,100,100,100,100,99.6,100,97.5,82.8,100,70.4,100,1,100,25.2,100,100,100,100,100,100,100,100,100,63,1,1,1,1,1,1,1,100,1,100,100,96.6,100,95.1,92.5,72.5,100,44.5,1,1,100,100,1,1,1,1,1,1,1,99.8,1,1,1,1,1,1,50,100,100,100,100,100,1,100,100,28.6,100,100,1,1,1,100,1,100,100,100,100,100,100,100,100,100,100,7.69,100,79.4,100,100,100,100,100,100,100,100,1,100,1,1,1
2021-08-11 00:05:00,1,100,1,88.1,100,100,1,1,50.4,1,1,24.1,49,100,25.8,1,1,100,100,1,100,100,1,100,1,87.2,100,100,99.8,100,1,1,1,1,100,79,1,1,75,75,75,100,26.8,12.6,1,1,35.6,1,1,28.6,1,1,1,100,100,100,35.7,100,100,1,25.9,1,63,82.7,29,1,63,1,63,34.4,25.3,1,1,100,100,100,100,100,64.9,100,100,100,100,100,100,100,100,75.3,1,1,99.8,100,100,100,30.3,1,1,1,1,1,55.6,44.5,100,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,1,1,1,1,100,1,100,100,100,100,100,100,100,100,100,100,100,1,100,21.1,100,100,100,100,100,100,100,100,100,63,1,1,1,1,1,1,1,100,1,100,100,100,100,100,100,63,100,44.8,1,1,100,100,1,1,1,1,1,1,1,100,1,1,1,1,1,1,50,100,100,100,100,100,1,100,100,23.6,100,100,1,1,1,100,1,100,100,100,100,100,100,100,100,100,100,6,100,50.6,100,100,100,100,100,100,100,100,1,100,1,1,1
2021-08-11 00:06:00,1,100,1,87.6,100,100,1,1,35.3,1,1,19.7,41.6,100,26,1,1,100,100,1,100,100,1,100,1,89.7,100,100,100,100,1,1,1,1,100,79,1,1,75,75.2,75,100,19.3,12.8,1,1,35,1,1,16.2,1,1,1,100,100,100,32.8,100,100,1,32.1,1,63,80.5,14.8,1,63,1,63,34.2,25.2,1,1,100,100,100,100,100,44.5,100,100,100,100,100,100,100,100,75.1,1,1,100,100,100,100,24.6,1,1,1,1,1,52.7,38,99.7,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,1,1,1,1,100,1,100,100,100,100,100,100,100,100,100,100,100,1,100,15.3,100,100,100,100,100,100,100,100,100,63,1,1,1,1,1,1,1,100,1,100,100,100,100,100,100,63,100,44.4,1,1,100,100,1,1,1,1,1,1,1,100,1,1,1,1,1,1,50,100,100,100,100,100,1,100,100,13,96.8,100,1,1,1,100,1,100,100,100,100,100,100,100,100,100,100,1,100,41,100,100,100,100,100,100,100,100,1,100,1,1,1
2021-08-11 00:07:00,1,100,1,87.5,100,100,1,1,45,1,1,20.7,36.5,100,21.1,1,1,100,100,1,100,100,1,100,1,89.4,100,100,100,100,1,1,1,1,100,79,1,1,75,75,75,100,17,12.3,1,1,35,1,1,3,1,1,1,100,100,100,31.2,100,100,1,32,1,63,76.8,6.23,1,63,1,63,33.7,25.7,1,1,100,100,100,100,100,34.8,100,100,100,100,100,100,100,100,75,1,1,100,100,100,100,31.5,1,1,1,1,1,53.9,38,99.8,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,1,1,1,1,100,1,100,73.7,100,100,100,100,100,100,100,100,100,1,100,13.3,100,100,100,100,100,100,100,100,100,63,1,1,1,1,1,1,1,100,1,100,100,100,100,100,100,63,100,45.4,1,1,100,100,1,1,1,1,1,1,1,100,1,1,1,1,1,1,50,100,100,100,100,100,1,100,100,13,87.7,100,1,1,1,100,1,100,100,100,100,100,100,100,100,100,100,1,100,38,100,100,100,100,100,100,100,100,1,100,1,1,1
2021-08-11 00:08:00,1,100,1,83.7,100,100,1,1,41,1,1,19.8,37,100,25.7,1,1,100,100,1,100,100,1,100,1,91.3,100,100,100,100,1,1,1,1,100,79,1,1,75,75,75,99.8,17,12,1,1,35,1,1,1,1,1,1,100,100,100,28.5,100,100,1,20.7,1,63,83,5.85,1,63,1,63,36.5,24.9,1,1,100,100,100,100,100,26,100,100,100,100,100,100,100,100,75.2,1,1,100,100,100,100,15.7,1,1,1,1,1,48.1,38,100,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,1,1,1,1,100,1,100,82.8,100,100,100,100,100,100,100,100,100,1,100,11.7,100,100,100,100,100,100,100,100,100,63,1,1,1,1,1,1,1,100,1,100,100,100,100,100,100,63,100,39.8,1,1,100,100,1,1,1,1,1,1,1,100,1,1,1,1,1,1,50,100,100,100,100,100,1,100,100,13,87.8,100,1,1,1,100,1,100,100,100,100,100,100,100,100,100,100,1,100,38,100,100,100,100,100,100,100,100,1,100,1,1,1
2021-08-11 00:09:00,1,100,1,87.7,100,100,1,1,52.2,1,1,21.1,43.6,100,24.8,1,1,100,100,1,100,100,1,100,1,88.5,100,100,100,100,1,1,1,1,100,79,1,1,75,75,75,100,17.7,12,1,1,42.2,1,1,13.6,1,1,1,100,100,100,24.4,100,100,1,25.6,7,63,82.2,23.4,1,63,1,63,31.4,21.6,1,1,100,100,100,100,100,48.8,100,100,100,100,100,100,100,100,75,1,1,100,100,100,100,67.8,1,1,1,1,1,50.4,56.8,92.4,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,1,1,1,1,100,1,100,96.9,100,100,100,100,100,100,100,100,100,1,100,13.3,100,100,100,100,100,100,100,100,100,63,1,1,1,1,1,1,1,100,1,92.4,100,100,100,100,100,67.1,100,46.3,1,1,100,100,1,1,1,1,1,1,1,84.8,1,1,1,1,1,1,50,100,100,100,100,100,1,100,100,21.2,83.2,100,1,1,1,100,1,100,100,100,100,100,100,100,100,100,100,1,100,51.3,100,100,100,100,100,100,100,100,1,100,1,1,1
