"time","CPU1_Temp | cpu-23-1","CPU1_Temp | cpu-23-10","CPU1_Temp | cpu-23-11","CPU1_Temp | cpu-23-12","CPU1_Temp | cpu-23-13","CPU1_Temp | cpu-23-14","CPU1_Temp | cpu-23-17","CPU1_Temp | cpu-23-18","CPU1_Temp | cpu-23-19","CPU1_Temp | cpu-23-2","CPU1_Temp | cpu-23-20","CPU1_Temp | cpu-23-21","CPU1_Temp | cpu-23-22","CPU1_Temp | cpu-23-23","CPU1_Temp | cpu-23-24","CPU1_Temp | cpu-23-25","CPU1_Temp | cpu-23-26","CPU1_Temp | cpu-23-27","CPU1_Temp | cpu-23-28","CPU1_Temp | cpu-23-3","CPU1_Temp | cpu-23-30","CPU1_Temp | cpu-23-31","CPU1_Temp | cpu-23-32","CPU1_Temp | cpu-23-33","CPU1_Temp | cpu-23-34","CPU1_Temp | cpu-23-35","CPU1_Temp | cpu-23-36","CPU1_Temp | cpu-23-37","CPU1_Temp | cpu-23-38","CPU1_Temp | cpu-23-39","CPU1_Temp | cpu-23-4","CPU1_Temp | cpu-23-40","CPU1_Temp | cpu-23-41","CPU1_Temp | cpu-23-42","CPU1_Temp | cpu-23-43","CPU1_Temp | cpu-23-44","CPU1_Temp | cpu-23-45","CPU1_Temp | cpu-23-46","CPU1_Temp | cpu-23-47","CPU1_Temp | cpu-23-48","CPU1_Temp | cpu-23-49","CPU1_Temp | cpu-23-5","CPU1_Temp | cpu-23-50","CPU1_Temp | cpu-23-51","CPU1_Temp | cpu-23-52","CPU1_Temp | cpu-23-53","CPU1_Temp | cpu-23-54","CPU1_Temp | cpu-23-55","CPU1_Temp | cpu-23-56","CPU1_Temp | cpu-23-57","CPU1_Temp | cpu-23-58","CPU1_Temp | cpu-23-6","CPU1_Temp | cpu-23-60","CPU1_Temp | cpu-23-7","CPU1_Temp | cpu-23-8","CPU1_Temp | cpu-23-9","CPU1_Temp | cpu-24-1","CPU1_Temp | cpu-24-10","CPU1_Temp | cpu-24-11","CPU1_Temp | cpu-24-12","CPU1_Temp | cpu-24-13","CPU1_Temp | cpu-24-14","CPU1_Temp | cpu-24-15","CPU1_Temp | cpu-24-16","CPU1_Temp | cpu-24-17","CPU1_Temp | cpu-24-18","CPU1_Temp | cpu-24-19","CPU1_Temp | cpu-24-2","CPU1_Temp | cpu-24-20","CPU1_Temp | cpu-24-21","CPU1_Temp | cpu-24-22","CPU1_Temp | cpu-24-23","CPU1_Temp | cpu-24-24","CPU1_Temp | cpu-24-25","CPU1_Temp | cpu-24-26","CPU1_Temp | cpu-24-27","CPU1_Temp | cpu-24-28","CPU1_Temp | cpu-24-29","CPU1_Temp | cpu-24-3","CPU1_Temp | cpu-24-30","CPU1_Temp | cpu-24-31","CPU1_Temp | cpu-24-32","CPU1_Temp | cpu-24-33","CPU1_Temp | cpu-24-34","CPU1_Temp | cpu-24-35","CPU1_Temp | cpu-24-36","CPU1_Temp | cpu-24-37","CPU1_Temp | cpu-24-38","CPU1_Temp | cpu-24-39","CPU1_Temp | cpu-24-4","CPU1_Temp | cpu-24-40","CPU1_Temp | cpu-24-41","CPU1_Temp | cpu-24-42","CPU1_Temp | cpu-24-43","CPU1_Temp | cpu-24-44","CPU1_Temp | cpu-24-45","CPU1_Temp | cpu-24-46","CPU1_Temp | cpu-24-47","CPU1_Temp | cpu-24-48","CPU1_Temp | cpu-24-49","CPU1_Temp | cpu-24-5","CPU1_Temp | cpu-24-50","CPU1_Temp | cpu-24-51","CPU1_Temp | cpu-24-52","CPU1_Temp | cpu-24-53","CPU1_Temp | cpu-24-54","CPU1_Temp | cpu-24-55","CPU1_Temp | cpu-24-56","CPU1_Temp | cpu-24-57","CPU1_Temp | cpu-24-58","CPU1_Temp | cpu-24-59","CPU1_Temp | cpu-24-6","CPU1_Temp | cpu-24-60","CPU1_Temp | cpu-24-7","CPU1_Temp | cpu-24-8","CPU1_Temp | cpu-24-9","CPU1_Temp | cpu-25-1","CPU1_Temp | cpu-25-10","CPU1_Temp | cpu-25-11","CPU1_Temp | cpu-25-12","CPU1_Temp | cpu-25-13","CPU1_Temp | cpu-25-14","CPU1_Temp | cpu-25-15","CPU1_Temp | cpu-25-16","CPU1_Temp | cpu-25-19","CPU1_Temp | cpu-25-2","CPU1_Temp | cpu-25-21","CPU1_Temp | cpu-25-22","CPU1_Temp | cpu-25-23","CPU1_Temp | cpu-25-24","CPU1_Temp | cpu-25-25","CPU1_Temp | cpu-25-26","CPU1_Temp | cpu-25-27","CPU1_Temp | cpu-25-28","CPU1_Temp | cpu-25-29","CPU1_Temp | cpu-25-3","CPU1_Temp | cpu-25-30","CPU1_Temp | cpu-25-31","CPU1_Temp | cpu-25-33","CPU1_Temp | cpu-25-34","CPU1_Temp | cpu-25-35","CPU1_Temp | cpu-25-36","CPU1_Temp | cpu-25-37","CPU1_Temp | cpu-25-38","CPU1_Temp | cpu-25-39","CPU1_Temp | cpu-25-4","CPU1_Temp | cpu-25-40","CPU1_Temp | cpu-25-41","CPU1_Temp | cpu-25-42","CPU1_Temp | cpu-25-43","CPU1_Temp | cpu-25-44","CPU1_Temp | cpu-25-45","CPU1_Temp | cpu-25-46","CPU1_Temp | cpu-25-47","CPU1_Temp | cpu-25-48","CPU1_Temp | cpu-25-49","CPU1_Temp | cpu-25-5","CPU1_Temp | cpu-25-51","CPU1_Temp | cpu-25-52","CPU1_Temp | cpu-25-53","CPU1_Temp | cpu-25-54","CPU1_Temp | cpu-25-55","CPU1_Temp | cpu-25-56","CPU1_Temp | cpu-25-57","CPU1_Temp | cpu-25-58","CPU1_Temp | cpu-25-6","CPU1_Temp | cpu-25-60","CPU1_Temp | cpu-25-7","CPU1_Temp | cpu-25-8","CPU1_Temp | cpu-25-9","CPU1_Temp | cpu-26-1","CPU1_Temp | cpu-26-10","CPU1_Temp | cpu-26-11","CPU1_Temp | cpu-26-12","CPU1_Temp | cpu-26-13","CPU1_Temp | cpu-26-14","CPU1_Temp | cpu-26-15","CPU1_Temp | cpu-26-16","CPU1_Temp | cpu-26-17","CPU1_Temp | cpu-26-18","CPU1_Temp | cpu-26-19","CPU1_Temp | cpu-26-2","CPU1_Temp | cpu-26-20","CPU1_Temp | cpu-26-21","CPU1_Temp | cpu-26-22","CPU1_Temp | cpu-26-23","CPU1_Temp | cpu-26-24","CPU1_Temp | cpu-26-25","CPU1_Temp | cpu-26-26","CPU1_Temp | cpu-26-28","CPU1_Temp | cpu-26-29","CPU1_Temp | cpu-26-3","CPU1_Temp | cpu-26-30","CPU1_Temp | cpu-26-31","CPU1_Temp | cpu-26-32","CPU1_Temp | cpu-26-33","CPU1_Temp | cpu-26-34","CPU1_Temp | cpu-26-35","CPU1_Temp | cpu-26-37","CPU1_Temp | cpu-26-38","CPU1_Temp | cpu-26-39","CPU1_Temp | cpu-26-4","CPU1_Temp | cpu-26-40","CPU1_Temp | cpu-26-41","CPU1_Temp | cpu-26-42","CPU1_Temp | cpu-26-43","CPU1_Temp | cpu-26-44","CPU1_Temp | cpu-26-45","CPU1_Temp | cpu-26-46","CPU1_Temp | cpu-26-47","CPU1_Temp | cpu-26-48","CPU1_Temp | cpu-26-49","CPU1_Temp | cpu-26-5","CPU1_Temp | cpu-26-50","CPU1_Temp | cpu-26-51","CPU1_Temp | cpu-26-52","CPU1_Temp | cpu-26-53","CPU1_Temp | cpu-26-54","CPU1_Temp | cpu-26-55","CPU1_Temp | cpu-26-56","CPU1_Temp | cpu-26-57","CPU1_Temp | cpu-26-58","CPU1_Temp | cpu-26-59","CPU1_Temp | cpu-26-6","CPU1_Temp | cpu-26-60","CPU1_Temp | cpu-26-7","CPU1_Temp | cpu-26-8","CPU1_Temp | cpu-26-9"
2021-08-11 00:00:00,32,47,32.8,44.2,40,39,32,34,38,34,32,49.7,53,43.6,48.5,34,34,38,38,33,38,37,34,43.6,35,45.6,39,39,38,38,33,34,33,34,31.3,46,34,33,46,44.2,46.6,45.8,49.5,45.7,32,32,48.2,34.4,32.8,50.5,34,34,34,47,46,45,52.5,40,42,34,49.3,45,44,44.4,38.3,32,44.9,36.8,46,50,47,33.4,34,46,43.5,46,46,46.7,48.1,45,46.2,44,48,47,43.5,47,46.7,44.8,35,34.7,37.2,39,40,36,40.4,35,33,35.3,36,35,46,54,44,33,42.7,47,46,46,47,47.2,46,37,46,39,37.2,41.8,46,42.5,35,33,32,33,33,41,34,44,42,44,39,42,40,40,40,37,41,44,36,46,45.7,47,45.5,46,44,46,47,44,47,47,47,34,34,34,33,34,33,34,44,33,47,38,42,38,40,38,45.8,44,46.6,33.4,32,44,41.4,34,32,33,36,36.1,34,36,42.2,32,32,36,32,35.8,34,46,43,50,46,46,43.5,36,44.1,43,45.8,42,44,34.1,32,36,44.7,34,45,44.1,44,43.6,45,48,49,47,46,45,35.4,43,51,45,45.7,46,45,47,42,43,44,35.8,41,34,34,33
2021-08-11 00:01:00,32.8,47,33,44,40,38.9,32,34,38,34,32,48.5,53.2,43,49.3,34,34,38.9,37.8,33,38,36.9,34,44.1,35,46,39.4,38.7,38,38,33,34.3,33,34,32,46,34,33,46,44.3,47.3,46,49,45.5,32,32.5,48.9,35,33,52.5,34,34,34,47,46,45,52.8,40,42,34,49.3,45,46.3,45.5,38,32,44.8,37,43.8,50.5,47,34,34,46,44,46,46,47,56,45,47,44,48,47,44,47,47,44.8,35,35,38,38.2,40,36,39.6,35,33,36,36,35,46.6,54,43.8,33,43,47.8,46,46,47.7,48,46,37,46,39,38,39.3,46,42.6,35,33.3,32,33,33,41.9,34,44,42,44,39,42,39.8,39.8,40,37,41,44.3,36,46.3,45.5,47,46,46,44,46,47,45,47.3,47,47,34,34,34,33,34,33,34,44,33,46.1,37.5,41.8,38.3,40,38,45.3,43.6,46.5,34,32,44,41,34,32.2,33,36,37,34,36.1,41.9,32,32,36,32,36,34,46,43.8,50,46,46,44,36,45,43.5,45,42,44,35,32,36,45,34,46,45,44.7,44,45.5,48,49,47,46,45,34,43.6,42,45,46,46,45,47.8,42.8,43,44,36,41,34,34,33
2021-08-11 00:02:00,33,47,33,44.5,40,38.7,32,34,38,34,32,49.7,52.8,43,50.7,34,34,38.2,36,33.5,38.3,36.7,34,45,35.8,45.1,39.2,39.3,38,39.1,33,35,33,34,32,46,34,33,46,45,48,46,49,46,32,33,47.5,35,33.5,54,34,34,34,47,46,45,53,39.5,42,34,50,45,46.3,44.5,37.3,32,44,37,44.8,51,47,34,34,46,44,46,46,47,56,45,47,44,48,47,44,47,47,45,35,35,37.6,39.6,39.2,36.6,39.6,35,33,36,36,35.3,47,54,40.8,33,41,48,46,46,48,48,46,37,46,39.3,38.3,38,46,43,35.2,34,32.8,33,33,41.3,34,44,41.9,44,37,43.2,39.7,38.7,40,38.5,40.6,45,36,45.7,46,47,46,46.2,44,46,47,45,48,47.9,47,34,34,34,33,34,33.4,34,44.6,33,42.2,38.6,40.6,39.5,41.3,38.2,44.3,43,46.7,34,32.5,44,38.9,34,33,33,36,37,35,37,39.1,32,32.5,36,32,36,34,46,44,50,46,46,44,36,45,44,45,42,44.1,35,32,36,45,34,46,45,46,44,46,48.6,49,47,46,45.7,34,44.4,42,45,46,46,45.1,48,43,43,44,36,41,34,34,33
2021-08-11 00:03:00,33,47,33,45.3,40.4,38.8,32,34,36.2,34,32,49.5,52,43,51,34,34,40.1,38.8,34,39.3,37.5,34,44.1,36,45.3,38.8,38.7,38,38.5,33,35,33.1,34,32,46,34,33,46,45,47.7,45.7,49.8,45.6,32.9,33,47.2,35,34,54,34,34,34,47,46,45,53,40.3,42,34,50.3,36.8,45.5,46.1,37.5,32,44.4,37,44.3,49.5,47.5,34,34,46.2,44,46,46,47,56,45,47,44.9,48,47.4,44,47,47,45.1,35,35,37.8,36.7,38.4,37.5,39.3,35.6,33.9,36,36,36,48.3,53.8,40.3,33,39.5,48,46,46.9,48,48,46.3,37.8,46,38.8,40,38,46,43,36,34,33,33,33.5,41,34,44,41.7,44.1,37.3,43.1,39.2,40.2,40,38.5,41,45,36,46,46,48,46,47,44,46,47,45,48,48,47.3,34,34,34.7,33.8,34,34,34,45,33,42,37.8,41.6,40,40.3,39.3,46.7,43.8,46.3,34,33,44,38,34,33,34,36,37,35,37,39,32,33,36,32.5,36,34,46.6,44,50,46,46,44,36,45,44,45,42,45,35,32,36,45.1,34,46,45,46,44,46,49,49,47,46,45.5,34,44,40.6,45,46.5,46,46,48,43,44,44,36,41.8,34,34,33
2021-08-11 00:04:00,33,47,33,45.6,43.1,39.5,32,34,36.7,34,32,50.3,52,44.5,51,34,34.2,42.1,39,34,40.8,41.1,34,44,36,46,41.5,42.4,41.5,42.3,33.7,35,34,34,32,46,34,33,46,45,47.9,44.8,51.2,46,33,33,48,35,34,52.5,34,34,34,47,46,45.3,51.2,40,42,34,51,34,45.8,45.7,37,32.4,44,37,44,50.5,47.5,34,34,47,44,46,46,47,47.8,45,47,45,48,48,44,47,47.7,45.3,35.9,35,38.3,42,39.3,39.5,41.6,36,34,36,36,36,47.5,46,44,33,39.8,48,46,47,48,48,47,38,46,39,41.9,38,46,43,36,34,33,33,34,41.8,34,44.1,42.3,45,41.3,46.1,43,42,43,40.8,41,45,36,46.8,47.9,48,46,47,44,46,47,45,48,48,48,34,34,35,34,34,34,34,45,33,45.8,41,47,42.8,40.3,41.9,45.2,43.6,45.8,34,33,44,40.2,34,33,34,36,37,35,37,42,32,33,36.3,33,36,34,47,44,50,46,46,44,36.9,45,44,45,42.3,44.8,35,32,36,46,34,46,45,46,44,46,49,49,47,46,45.7,34,44,45,45,47,46,46,48,43,44,44,36,42,34,34,33.9
2021-08-11 00:05:00,33,47,33.3,46,46,44.2,32,34,38.2,34,32,53.2,52,44.3,46.9,34,35,44.4,39,34,44.2,42.6,34,44,36,46,44.9,45.6,44,43.2,34,35,34,34,32,46,35,33,46.3,45.3,47.3,44,52,46,33,33,48,35,34,54,34.9,34,34,47,46,46,52.9,46,42,34,50,34.3,46,45.3,37,33,44.2,37,44.7,50.4,46.1,34,34,47,44,46,46,47.2,52.5,46,47,45,48,48,44,47,48,45.2,36,35,43.5,45,46,42.4,40.1,36,34,36,36,36,47.3,49.8,44.1,33,42.8,48,46,47,48,48,47,42.5,46.2,44.6,44,38,46.7,43,36,34,33,33,34,42,34,45,43,44.5,44.6,48,45.6,45.1,44.2,42.2,46,45,36,46.9,47.8,48,46,47,44.3,46,47,45,48,48,48,34,34.4,35,34,34,34,34,45,33,47,44,48.6,44.5,46.8,44,46.4,44,46.5,34,33,44,41,34,33,34,36.1,37,35,37,42.8,32.7,33,37,33,36,34,47,44,50,46,46.2,44,37,45,44,45.8,43.2,44,35,32,36.1,46,34,46,45,46,44,46,49,49.5,47,46,45.1,39.3,45,56.5,45.5,47,46,46,48,43,44,44,36,42,34,34.5,34
2021-08-11 00:06:00,33,47,34,44.7,46,45.3,32,34,38.3,34,32,49.7,52,43.8,47.7,34,35,44.8,42.8,34,44.8,42.7,34,44,36,46.4,44.8,45.6,44.6,44,34,35,34,34.7,32,46,35,33.4,46.8,45.4,47.6,45.2,52.9,46,33,33,48,35.5,34,51.4,35,34,34,47,46,46,53,46,42,34,50.8,35,47,45,37.3,32.6,44.3,37.4,46.5,51.1,47,34,34,47,44,46,46,48,55.8,46,47,45,48,48,44.5,47,48,45.6,36,35.4,43.6,44.8,46,42.4,39.8,36,34,36,36,36,47.5,50.3,44.3,33.8,43.3,48,46,47,48,48,47,43.8,46.7,45.4,43.8,38,46.9,43,35.8,34,33,33,34,42,34,44.5,42.8,44,45.1,47.2,46,45.8,45,42.9,46,45,36,46.7,46.3,48,46,47.4,45,46,47.4,45,48,48,48,34,34.8,35,34,34.4,34,34,44.8,33,47,44,49.4,45,46.4,44,46.2,43.3,46.3,34,33,44,41.6,34,33,34,36.3,37,35,37,43.4,32.5,32.9,37,33,36,34,47,44,50,46,46.7,44,37,45,44,47,44,44,35.4,32,36.3,46,34,46,45,46,44,46,49,49.7,47,46,45,34.5,44.2,52,46,47,46,46,48,43,44,44,36,42,34,35,33.9
2021-08-11 00:07:00,33,47,33.3,44.7,45.6,45.3,32,34,37.6,34,32,47.6,53.3,43,49,34,35,44.1,44,33.2,44,42,34,44.1,35.8,46,44.5,45,44.6,43.3,33.8,35,34,34.9,32,46,34.3,33,46,44.6,47.2,46,52.3,45.4,33,33,48,36,34,41.1,34.4,34,34,47,46,45.2,52.7,46,42,34,50.7,35,45.8,46.1,37.7,32,46.8,37,45.7,48.8,45.1,34,34,46.8,44,46,46,47.4,55.8,45,46.6,45,48,47.2,44.7,47,47.1,45.5,35.3,35,42.7,44.4,45.2,42.4,39.2,36,33.4,36,36,36,46.3,49.1,43.5,33,43.5,48,46,46.8,48,48,47,43,46,44.5,43.4,38,46,42.6,35,34,32.3,33,34,41.8,34,44,41.9,44,44.4,47,46,45.3,45,42,46.3,45,36,44.8,45.7,47.4,46,47,45,46,47,45,48,48,47.2,34,34,34.7,33.9,34.1,33.7,34,44,33,45.7,44,49,44.3,46,44,47,43.1,45.2,34,33,44,41,34,32.3,33.3,36,37,35,36.5,41.3,32,32,37,33,36,34,46.8,43.5,50,46,46,44,36.3,45,44,47,44.2,44,35,32,36,45.1,34,45.8,45,46,44,45.5,49.4,49,47,46,45.9,34,44,36.3,45.1,47,46,46,48,43.4,43.8,44,36,42,34,34.4,33
2021-08-11 00:08:00,32.3,47,33,45.8,45.9,44,32,34,38,34,32,47.3,53,42.6,49,34,34,44,44,33,44,42.4,34,45,35,45.4,44.6,44.9,44,42.8,33,34,34,34,32,46,34,33,45.4,44.4,46.8,46,52,45,33,33,48,36,34,34,34,34,34,47,46,45,53.5,45.3,42,34,48.6,34.8,44.7,46.7,36,32,43.5,37,43.5,50,44.3,33.9,34,46,43.8,46,46,47,52,45,46,44.2,48,47,44,47,47,45,35,34.7,43.4,44.7,45.1,42.8,37.8,36,33,36,36,36,46.4,49,40.3,33,41.7,47.7,46,46,47.8,48,46.4,43,46,44.3,43.8,38,46,42.3,35,33.4,32,33,34,41,34,44,37.3,44,44,47,46,46,44.3,41.6,46.5,44.8,36,46,44,47,46,46.8,44.4,46,47,44.9,48,48,46,34,34,34,33,34,33,34,44,33,42.1,44,48.9,44,46,43.6,47,43.8,45.6,33.1,32.4,44,38,34,32,33,36,37,35,36,38.3,32,32,37,33,35.9,34,46,43,50,46,46,44,36,44.1,44,47,45,43,34.5,32,36,45,34,45,44.8,46,43.7,45,49,49,47,46,45.3,34,42.3,36,45,46.6,46,46,47.7,44,43,44,35.9,42,34,34,33
2021-08-11 00:09:00,32,46.3,32.8,45,45,44,32,33.8,38,34,32,46.6,53,42,48.7,34,34,42.8,44,33,44,42.1,34,43.2,35,45,44.2,44,44,42.6,33,34,33.8,34,32,46,34,32.8,45.5,44,46,46,51.6,45,33,33,48,34.5,33.3,36,34,34,34,47,46,45,51.7,45.5,42,33.4,42.8,34,45.7,43.6,36,32,43.9,36.7,43.6,46.8,44.8,33,34,46,43,46,46,46.8,51.3,45,46,44,47.9,47,44,47,47,45.2,35,34,42.6,44.2,45.1,42.4,40.3,35.3,33,36,35.9,36,47.2,47.3,39.5,33,38.5,47,46,46,47,48,46,43,46,44.2,43,40.5,46,42,35,33,32,32.8,33,40.8,34,44,41,43.9,44,47,45,45.3,44,41.4,46,44,35.1,45.6,43.4,47,46,46,44,46,47,44,48,47.6,46,34,34,34,33,34,33,34,44,33,42,43.7,48.4,43.2,46,43.6,47,42.9,44.7,33,32,43.6,37,34,32,33,36,37,35,36,38,32,32,36.1,32.8,35,34,46,43,50,46,46,44,36,44,43,46.9,45,43,34,32,35.8,45,33.9,45,44,46,43,45,48.9,48.5,47,46,45,33.3,40,37.2,45,46,46,45.3,47,43.2,43,44,35,42,34,34,33
