user,CPU1 Temp,CPU2 Temp,Inlet Temp,Memory usage,Fan1 speed,Fan2 speed,Fan3 speed,Fan4 speed,Power consumption
rafiisla,82,72,9,8.23,9450,9450,9380,9450,158
rafiisla,85,51,9,8.09,9870,10010,10010,10010,159.5
rafiisla,78,60,12,5.91,9170,9170,9170,9170,155
rafiisla,75,66,9,19.36,9380,9380,9310,9310,159.5
rafiisla,77,57,15,6.73,8890,8890,8890,8890,156
rafiisla,86,66,9,7.56,10850,10850,10920,10850,159.5
rafiisla,83,55,12,4.84,9590,9450,9590,9590,154.5
rafiisla,65,51,9,11.61,11970,11970,11830,11970,156.5
rafiisla,76,65,9,5.38,9590,9450,9590,9590,158.5
rafiisla,69,53,9,3.72,10220,10220,10290,10220,155
adegbalo,58,47,10,4.79,10430,10430,10640,10500,142
adegbalo,64,59,0,27.64,-2147483648,-2147483648,-2147483648,-2147483648,149.5
adegbalo,81,49,11,4.6,9450,9450,9450,9450,152.5
adegbalo,71,86,16,5.38,11130,11130,11130,11130,152.5
adegbalo,63,46,10,11.34,9170,9170,9170,9170,145
adegbalo,67,54,9,3.92,9170,9170,9170,9170,143.5
adegbalo,80,47,9,6.26,9380,9310,9310,9380,146.5
adegbalo,75,59,11,4.29,8540,8540,8680,8540,154
adegbalo,78,48,9,7.08,8960,8890,8960,8960,143
adegbalo,63,47,8,6.27,8540,8540,8680,8540,142
adegbalo,51,43,9,5.6,10850,10850,10920,10850,143
adegbalo,67,52,9,5.38,9590,9450,9590,9590,147.5
adegbalo,79,53,10,3.32,9170,9310,9170,9170,147.5
adegbalo,65,50,10,16.81,8890,8960,8890,8890,149
adegbalo,70,58,12,4.16,8540,8540,8540,8540,144.5
adegbalo,64,48,10,4.98,9170,9170,9170,9170,137.5
adegbalo,86,42,12,5.65,12460,12460,12460,12460,157.5
adegbalo,77,47,16,8.17,8890,8890,8890,8890,145.5
adegbalo,86,64,9,6.36,10010,10010,10080,10080,150.5
adegbalo,64,47,10,25.85,8540,8540,8540,8540,142.5
qinyuan,43,39,11,12.74,8540,8540,8470,8540,81.5
qinyuan,40,33,9,24.97,9380,9450,9450,9450,85.5
qinyuan,38,31,9,26.77,10220,10220,10290,10220,83.5
qinyuan,44,37,10,10.14,7630,7700,7700,7700,81.5
qinyuan,54,42,9,6.61,5530,5460,5670,5670,76.5
qinyuan,62,49,9,16.64,5950,5880,5950,5950,82.5
qinyuan,47,36,17,22.92,8680,8750,8750,8680,91.5
qinyuan,44,37,12,9.47,9170,9170,9170,9170,84.5
hge,64,49,10,64.5,10220,10290,10220,10220,138
hge,69,45,9,65.63,8890,8890,8890,8890,143
hge,68,49,9,66.74,8120,8050,8050,8120,140.5
hge,72,43,12,65.4,9870,9870,10010,9870,135.5
hge,76,42,11,66.39,9590,9590,9590,9590,130
